ID;Titulo;Edad Minima;Edad Maxima;Instrumento;Objetivo;Duracion;Instrucciones
ACT 111;El Rompecabezas Musical;6;10;Instrumentos de percusión;Desarrollar secuenciación, memoria y construcción de patrones.;15 minutos;Crear tarjetas con pequeños patrones rítmicos. Los niños deben ordenar las tarjetas para formar una secuencia coherente y después interpretarla con percusión corporal o instrumentos.
ACT 112;El Dado Musical;4;9;Percusión corporal;Combinar diferentes acciones musicales de manera aleatoria y desarrollar adaptación rápida.;15 minutos;Crear un dado con seis acciones musicales como palmear, cantar, girar, saltar, pisar y hacer un sonido vocal. Cada niño lanza el dado y todo el grupo realiza la acción durante unos segundos.
ACT 113;La Subasta de Sonidos;6;10;Instrumentos variados;Desarrollar capacidad de elección, creatividad y exploración de timbres.;20 minutos;Presentar varios sonidos o instrumentos como si fueran objetos de una subasta. Los niños reciben fichas imaginarias y deben elegir en cuáles invertir explicando qué les gusta de cada sonido.
ACT 114;El Rompecabezas de Canciones;6;10;Ninguno;Desarrollar memoria musical y reconocimiento de diferentes partes de una canción.;15 minutos;Dividir una canción conocida en fragmentos. Reproducirlos en un orden diferente y pedir a los niños que organicen las partes hasta reconstruir la secuencia original.
ACT 115;El Bingo Musical;5;10;Instrumentos variados;Reforzar reconocimiento auditivo de instrumentos y sonidos.;20 minutos;Entregar cartones con imágenes de instrumentos o elementos musicales. El docente produce o reproduce sonidos y los niños marcan en su cartón el elemento correspondiente.
ACT 116;La Tienda de Ritmos;5;10;Percusión corporal;Crear y combinar patrones rítmicos mediante una dinámica de elección.;20 minutos;"Preparar tarjetas con pequeños patrones rítmicos. Cada niño puede ""comprar"" una tarjeta y después combinar las tarjetas adquiridas para crear una secuencia grupal."
ACT 117;El Laberinto Musical;5;10;Ninguno;Desarrollar orientación, memoria y respuesta a instrucciones musicales.;15 minutos;Crear un pequeño recorrido con obstáculos seguros. Cada zona tiene una regla musical diferente, como avanzar cantando, caminar siguiendo palmadas o detenerse ante un silencio.
ACT 118;La Subida y Bajada de la Montaña;4;8;Piano o teclado;Experimentar con cambios progresivos de altura y expresión corporal.;10 minutos;Los niños imaginan que suben una montaña mientras las notas se vuelven más agudas y bajan cuando las notas descienden. Deben representar el recorrido únicamente con movimientos.
ACT 119;El Puzzle de Instrumentos;5;9;Instrumentos variados;Relacionar partes visuales con instrumentos completos y reconocer sus características.;15 minutos;Preparar imágenes de instrumentos cortadas en varias piezas. Los niños deben reconstruirlas y después identificar cómo se toca cada instrumento.
ACT 120;La Pelota de las Canciones;4;8;Ninguno;Estimular memoria de canciones y participación espontánea.;10 minutos;Los niños pasan una pelota mientras suena una base musical. Cuando el docente detiene la música, quien tenga la pelota debe cantar una pequeña parte de una canción conocida.
ACT 121;El Menú Musical;5;10;Ninguno;Permitir que los niños seleccionen actividades y desarrollen autonomía musical.;15 minutos;Crear un menú con opciones como canción, juego de ritmo, movimiento, instrumento o improvisación. Cada niño elige una opción y el docente la incorpora a la sesión.
ACT 122;La Aduana Musical;5;9;Ninguno;Desarrollar reconocimiento de características musicales mediante clasificación.;15 minutos;Crear una entrada imaginaria a un país musical. Para poder pasar, cada niño debe identificar correctamente una característica de un sonido, como fuerte, suave, largo, corto, agudo o grave.
ACT 123;La Máquina del Tiempo Musical;5;10;Ninguno;Explorar cambios de estilo, tempo y expresión mediante imaginación.;15 minutos;El docente anuncia diferentes épocas o momentos imaginarios. Los niños deben cambiar sus movimientos y forma de interpretar según la época musical propuesta.
ACT 124;El Detective del Error;6;10;Instrumentos de percusión;Desarrollar atención auditiva y capacidad de detectar errores en secuencias musicales.;15 minutos;El docente interpreta una secuencia conocida introduciendo deliberadamente un error. Los niños deben levantar una señal cuando detecten que algo no corresponde.
ACT 125;El Dominó de Ritmos;6;10;Percusión corporal;Construir secuencias rítmicas mediante asociación de patrones.;20 minutos;Preparar fichas donde cada mitad contenga un patrón rítmico. Los niños deben unir fichas cuyos patrones tengan una relación determinada y después interpretar la cadena resultante.
ACT 126;La Puerta Musical;4;8;Ninguno;Desarrollar memoria y asociación entre sonidos y movimientos.;10 minutos;Crear una puerta imaginaria que solo se abre cuando los niños realizan correctamente una combinación de movimientos y sonidos indicada previamente.
ACT 127;El Restaurante de los Sonidos;4;8;Objetos cotidianos;Explorar sonidos de objetos y desarrollar creatividad mediante juego simbólico.;15 minutos;"Los niños imaginan que preparan platos utilizando sonidos en lugar de alimentos. Cada ""ingrediente"" corresponde a un objeto sonoro diferente y deben combinar varios para crear un plato musical."
ACT 128;La Agencia de Viajes Musicales;5;10;Ninguno;Relacionar música con imaginación, movimiento y creación de ambientes.;20 minutos;Los niños eligen entre diferentes destinos imaginarios. Para cada destino deben crear colectivamente sonidos, movimientos y una pequeña escena musical que represente el lugar.
ACT 129;El Cajón de las Sorpresas;3;7;Objetos sonoros;Estimular exploración sensorial y descubrimiento de diferentes timbres.;15 minutos;Colocar objetos seguros dentro de un cajón. Sin mirar, cada niño toca uno, intenta identificarlo por el tacto y después descubre qué sonido puede producir.
ACT 130;La Ruleta de Emociones Musicales;4;9;Ninguno;Relacionar emociones con expresión vocal, corporal y musical.;15 minutos;Preparar una ruleta con emociones. Cada niño gira la ruleta y debe representar la emoción mediante una pequeña canción, sonido o movimiento.
ACT 131;El Constructor de Canciones;6;10;Ninguno;Desarrollar creatividad y composición mediante combinación de elementos.;20 minutos;Entregar tarjetas con personajes, lugares, acciones y palabras. Los niños seleccionan varias y crean una pequeña canción que incluya todos los elementos.
ACT 132;La Orquesta por Capas;6;10;Instrumentos de percusión;Comprender cómo diferentes partes pueden combinarse para formar una pieza musical.;20 minutos;Asignar un patrón diferente a cada grupo. Primero interpreta un grupo, después se incorpora otro y finalmente todos juntos. El docente puede retirar y reincorporar capas.
ACT 133;El Submarino Musical;4;8;Ninguno;Explorar sonidos graves, agudos, silencios y cambios de movimiento.;15 minutos;Los niños imaginan que viajan en un submarino. Los sonidos graves representan las profundidades y los agudos la subida hacia la superficie. Deben acompañar cada cambio con movimientos.
ACT 134;La Maleta Perdida;5;9;Ninguno;Desarrollar memoria y reconocimiento de objetos relacionados con la música.;15 minutos;Mostrar durante unos segundos varias imágenes de objetos musicales. Ocultarlas y retirar una. Los niños deben descubrir cuál objeto desapareció y explicar para qué podría utilizarse.
ACT 135;La Fábrica de Canciones;6;10;Ninguno;Comprender la estructura básica de una canción mediante creación colectiva.;20 minutos;Dividir al grupo para crear diferentes partes: inicio, verso, coro y final. Cada grupo inventa su sección y después todas las partes se unen en una canción.
ACT 136;El Camino de las Texturas;5;10;Instrumentos variados;Explorar diferencias de timbre y textura sonora.;15 minutos;Crear estaciones con instrumentos de sonidos muy diferentes. Los niños pasan por cada estación y describen cómo cambia la sensación del sonido al utilizar diferentes combinaciones.
ACT 137;El Chef del Ritmo;5;10;Percusión corporal;Desarrollar composición rítmica mediante combinación de patrones.;15 minutos;"Los niños reciben tarjetas con ingredientes rítmicos como palmadas, pisadas y golpes suaves. Deben seleccionar varios ingredientes y preparar una ""receta"" rítmica para presentarla al grupo."
ACT 138;La Caja de las Palabras Musicales;5;9;Ninguno;Ampliar vocabulario musical y relacionar conceptos con experiencias sonoras.;15 minutos;Colocar palabras como rápido, lento, brillante, oscuro, suave, fuerte, alegre o misterioso en una caja. Cada niño extrae una palabra y debe encontrar una forma musical de representarla.
ACT 139;El Tribunal Musical;7;10;Ninguno;Desarrollar argumentación, escucha y expresión de opiniones musicales.;20 minutos;"Presentar una situación como ""¿debe esta canción ser rápida o lenta?"". Dividir al grupo en dos equipos y permitir que cada uno defienda musicalmente su elección mediante sonidos o ejemplos."
ACT 140;El Código de Colores;4;8;Instrumentos de percusión;Relacionar colores con acciones musicales y desarrollar memoria visual.;15 minutos;Asignar una acción musical a cada color. Mostrar diferentes combinaciones de colores y pedir a los niños que interpreten la secuencia sin recibir instrucciones verbales.
ACT 141;El Constructor de Ritmos;6;10;Percusión corporal;Crear patrones rítmicos progresivamente mediante selección de piezas.;20 minutos;Entregar tarjetas con diferentes células rítmicas. Los niños eligen varias piezas, las ordenan y las interpretan como una composición propia.
ACT 142;El Teatro de Sombras Musical;5;10;Ninguno;Combinar música, expresión corporal y narración visual.;20 minutos;Utilizar una fuente de luz segura para crear sombras. Los niños representan una pequeña historia mediante movimientos mientras otro grupo crea sonidos para acompañarla.
ACT 143;La Batalla de los Equipos Musicales;6;10;Percusión corporal;Desarrollar cooperación, creatividad y capacidad de crear respuestas musicales.;20 minutos;Dividir el grupo en dos equipos. Un equipo presenta un pequeño patrón o movimiento y el otro debe responder con una creación diferente. Se valoran creatividad, coordinación y participación.
ACT 144;El Mercado de Instrumentos Imaginarios;4;8;Ninguno;Estimular imaginación y creatividad mediante invención de instrumentos.;15 minutos;Cada niño inventa un instrumento imaginario, describe cómo funciona y demuestra cómo sonaría utilizando su voz o el cuerpo. El grupo puede crear una orquesta con todos ellos.
ACT 145;La Clave del Tesoro Musical;5;10;Ninguno;Desarrollar resolución de problemas y reconocimiento de conceptos musicales.;20 minutos;Crear pequeñas pistas musicales que lleven a un tesoro simbólico. Para avanzar, los niños deben resolver retos sobre ritmo, instrumentos, sonidos o canciones.
ACT 146;El Tren de las Palabras Cantadas;4;8;Ninguno;Relacionar lenguaje, melodía y creatividad vocal.;15 minutos;Un niño canta una palabra sencilla con una melodía corta. El siguiente añade otra palabra cantada y así sucesivamente hasta construir una frase musical colectiva.
ACT 147;La Galería Musical;5;10;Ninguno;Desarrollar expresión artística y asociación entre música y representación visual.;20 minutos;Los niños crean dibujos inspirados en una canción o fragmento musical. Después se colocan todos los dibujos como una galería y cada niño explica qué parte de la música representó.
ACT 148;El Mercado de Canciones;6;10;Ninguno;Desarrollar memoria musical y capacidad de seleccionar canciones según situaciones.;15 minutos;Presentar diferentes situaciones como dormir, celebrar, viajar o relajarse. Los niños deben elegir una canción conocida que consideran adecuada para cada situación y explicar por qué.
ACT 149;La Misión Musical;6;10;Ninguno;Combinar resolución de problemas, cooperación y conocimientos musicales.;20 minutos;Presentar una misión con varios retos consecutivos. Para completar cada etapa, los niños deben superar desafíos de ritmo, reconocimiento de instrumentos, canciones o conceptos musicales.
ACT 150;El Mosaico Sonoro;5;10;Instrumentos variados;Crear una composición colectiva mediante combinación de pequeñas ideas musicales.;20 minutos;Cada niño crea un sonido o patrón de pocos segundos. El docente organiza las ideas como piezas de un mosaico y decide cuándo entra cada participante para formar una composición.
ACT 151;La Fotocopiadora Musical;4;8;Ninguno;Desarrollar observación y reproducción precisa de secuencias de movimientos.;10 minutos;Un niño crea una secuencia de tres movimientos. Otro debe observarla cuidadosamente y reproducirla en el mismo orden. Después se incorporan sonidos a los movimientos.
ACT 152;El Mercado del Silencio;5;9;Ninguno;Comprender el valor del silencio dentro de una composición musical.;10 minutos;"Crear una secuencia donde los niños puedan ""comprar"" sonidos o silencios. El docente combina las elecciones para construir una pequeña composición y demuestra cómo los silencios también forman parte de ella."
ACT 153;La Orquesta de Bolsillo;4;9;Objetos cotidianos;Crear música utilizando objetos pequeños y fáciles de transportar.;15 minutos;Cada niño recibe un objeto seguro que pueda producir sonido. Exploran brevemente sus posibilidades y después el docente organiza una pequeña interpretación utilizando todos los objetos.
ACT 154;El Álbum de los Sonidos;5;10;Ninguno;Desarrollar memoria auditiva y clasificación de experiencias sonoras.;20 minutos;Crear páginas imaginarias de un álbum: sonidos de casa, naturaleza, escuela, ciudad y animales. Los niños deben proponer sonidos para cada página y explicar por qué pertenecen a ella.
ACT 155;El Mapa de una Canción;6;10;Ninguno;Reconocer diferentes secciones y cambios dentro de una canción.;20 minutos;Escuchar una canción y representar sus diferentes partes mediante símbolos, dibujos o movimientos. Después los niños siguen el mapa mientras vuelven a escucharla.
ACT 156;El Mercado de Timbres;5;10;Instrumentos variados;Comparar y clasificar instrumentos según sus características sonoras.;15 minutos;Presentar varios instrumentos. Los niños deben organizarlos en grupos según criterios que ellos mismos propongan, como sonido brillante, suave, metálico, profundo o vibrante.
ACT 157;El Musical Improvisado;6;10;Ninguno;Desarrollar improvisación, cooperación y expresión escénica.;25 minutos;Dividir al grupo en pequeños equipos y entregar a cada uno un personaje, lugar y situación. Deben crear una escena breve que incluya al menos una canción o sonido musical inventado.
ACT 158;La Máquina de Repeticiones;5;9;Percusión corporal;Comprender la repetición como elemento de construcción musical.;15 minutos;Un niño crea un patrón corto y lo repite varias veces. Otro niño incorpora un segundo patrón que también se repite. Continuar agregando participantes hasta construir una estructura musical.
ACT 159;El Pasaporte Musical;5;10;Ninguno;Reforzar diferentes habilidades musicales mediante un sistema de retos.;25 minutos;Entregar a cada niño un pasaporte con varias pruebas: cantar, reconocer un instrumento, seguir un patrón, identificar una emoción musical y crear un sonido. Cada reto completado recibe un sello simbólico.
ACT 160;La Máquina de Transformaciones;6;10;Instrumentos variados;Experimentar cómo un sonido puede modificarse mediante diferentes características musicales.;20 minutos;Un niño produce un sonido inicial. El docente indica una transformación: hacerlo más largo, más corto, más fuerte, más suave, más rápido o más lento. El niño modifica el sonido según la instrucción.
ACT 161;El Inventor de Reglas Musicales;6;10;Ninguno;Desarrollar creatividad, pensamiento lógico y comprensión de relaciones musicales.;20 minutos;"Cada niño inventa una regla musical sencilla, como ""cuando escuches dos palmadas debes girar"". Después el grupo prueba las reglas creadas y combina varias en un mismo juego."
ACT 162;El Cine Mudo Musical;5;10;Instrumentos variados;Comprender cómo la música puede comunicar acciones, emociones y situaciones sin utilizar palabras.;20 minutos;Representar una escena sin hablar. Otro grupo debe crear en tiempo real los sonidos y música que consideran adecuados para acompañarla.
ACT 163;El Laboratorio de Ecos;5;10;Objetos sonoros;Experimentar con diferentes formas de producir y modificar sonidos.;20 minutos;Preparar varios objetos seguros. Los niños prueban cómo cambia el sonido al golpear, frotar, sacudir o tocar de diferentes maneras y comparan los resultados.
ACT 164;El Desfile de Personajes Musicales;4;9;Ninguno;Relacionar características musicales con expresión corporal y creación de personajes.;15 minutos;Cada niño inventa un personaje musical con una forma particular de caminar y moverse. Después realiza un pequeño desfile mientras el docente asigna diferentes tipos de música a cada personaje.
ACT 165;La Huella del Sonido;3;6;Ninguno;Relacionar sonidos con movimientos simples y desarrollar escucha activa.;10 minutos;"El docente produce sonidos cortos y largos. Los niños dejan una ""huella"" imaginaria con sus manos en el aire: una huella pequeña para sonidos cortos y una grande para sonidos largos."
ACT 166;El Rey de la Canción;4;7;Ninguno;Fomentar participación individual y seguridad para cantar frente al grupo.;10 minutos;"Un niño se sienta en un lugar especial como ""rey"". El grupo canta una canción conocida y, en determinados momentos, el rey decide mediante gestos si todos cantan, cantan suave o hacen silencio."
ACT 167;La Bolsa de las Canciones;3;7;Ninguno;Estimular memoria musical y participación espontánea.;10 minutos;Colocar imágenes de canciones conocidas dentro de una bolsa. Cada niño extrae una imagen y el grupo canta una pequeña parte de la canción representada.
ACT 168;El Espejo por Turnos;3;6;Ninguno;Desarrollar imitación, coordinación y atención visual.;10 minutos;Trabajar en parejas. Un niño realiza movimientos sencillos mientras el otro los imita. Después de unos segundos cambian de papel. Incorporar movimientos relacionados con la música.
ACT 169;La Casa de los Sonidos;3;6;Ninguno;Reconocer sonidos asociados con situaciones cotidianas.;10 minutos;El docente representa diferentes espacios de una casa mediante sonidos. Los niños deben identificar si están en la cocina, dormitorio, baño, sala u otro lugar imaginario.
ACT 170;El Sombrero Musical;4;8;Ninguno;Estimular creatividad y expresión individual mediante pequeños retos.;15 minutos;Colocar tarjetas con retos musicales dentro de un sombrero. Cada niño extrae una tarjeta y realiza el reto, como inventar un sonido, cantar una palabra o crear un movimiento.
ACT 171;La Carrera de los Animales Musicales;3;6;Ninguno;Desarrollar coordinación motriz y asociación entre sonidos y movimientos.;10 minutos;Asignar a cada animal una forma de desplazamiento y un sonido. El docente nombra un animal y los niños deben desplazarse y producir su sonido correspondiente.
ACT 172;El Cofre de los Ritmos;5;8;Percusión corporal;Introducir patrones rítmicos mediante descubrimiento y repetición.;15 minutos;Colocar tarjetas de ritmos dentro de un cofre. Cada niño descubre una tarjeta, la interpreta y el grupo decide si puede incorporarla a una secuencia colectiva.
ACT 173;La Foto Familiar Musical;4;8;Ninguno;Trabajar cooperación y organización espacial mediante representación corporal.;15 minutos;En grupos pequeños, los niños reciben una situación como cumpleaños, paseo o fiesta. Deben crear una pose grupal que represente la situación y acompañarla con un pequeño sonido.
ACT 174;La Estatua del Instrumento;4;7;Ninguno;Reconocer formas de tocar instrumentos mediante expresión corporal.;10 minutos;El docente muestra una imagen de un instrumento. Los niños deben representar con su cuerpo cómo creen que se toca, sin utilizar ningún instrumento real.
ACT 175;El Camino de las Huellas Rítmicas;4;8;Percusión corporal;Desarrollar coordinación mediante asociación entre símbolos y movimientos.;15 minutos;Colocar huellas de papel en el suelo. Algunas representan palmadas, otras pisadas y otras saltos. Los niños recorren el camino interpretando cada huella.
ACT 176;El Detective de la Canción;7;10;Ninguno;Desarrollar memoria musical y reconocimiento de detalles dentro de canciones.;15 minutos;Reproducir una canción conocida y pedir a los niños que escuchen buscando un detalle específico, como una palabra, instrumento, sonido o repetición. Después deben identificar cuándo apareció.
ACT 177;La Pareja Compositora;7;10;Percusión corporal;Desarrollar creación musical colaborativa en parejas.;15 minutos;Cada pareja debe crear un patrón utilizando dos o tres sonidos corporales. Después lo presentan y enseñan al resto del grupo.
ACT 178;El Rompecabezas de Emociones;5;9;Ninguno;Relacionar características musicales con diferentes emociones.;15 minutos;Preparar tarjetas con emociones y otras con características musicales. Los niños deben formar parejas entre una emoción y las características sonoras que consideran adecuadas.
ACT 179;El Repartidor de Ritmos;6;10;Percusión corporal;Desarrollar memoria y coordinación mediante transmisión individual de patrones.;15 minutos;El docente entrega un patrón rítmico a un niño. Este debe enseñárselo a otro sin que el docente intervenga. El segundo lo transmite a otro participante y así sucesivamente.
ACT 180;La Orquesta de las Sombras;6;10;Ninguno;Desarrollar expresión corporal y sincronización grupal.;15 minutos;Un grupo crea movimientos lentos y amplios detrás de una fuente de luz segura. Otro grupo acompaña los movimientos con sonidos vocales o corporales.
ACT 181;El Inspector del Silencio;7;10;Ninguno;Desarrollar concentración y reconocimiento consciente de pausas musicales.;10 minutos;Los niños escuchan una pieza musical e intentan identificar cuántas pausas o momentos de silencio importantes aparecen. Después comparan sus respuestas.
ACT 182;La Postal Musical;5;9;Ninguno;Estimular imaginación y asociación entre música y lugares.;15 minutos;"El docente reproduce un fragmento musical. Los niños imaginan que la música viene de un lugar específico y crean una ""postal"" describiendo qué ven, quién está allí y qué ocurre."
ACT 183;El Mensaje en Clave;7;10;Percusión corporal;Desarrollar comunicación musical y pensamiento simbólico.;15 minutos;Crear un pequeño diccionario donde determinados ritmos representen palabras sencillas. Los niños utilizan esos ritmos para enviar mensajes que sus compañeros deben interpretar.
ACT 184;El Fotograma Musical;5;9;Ninguno;Representar cambios musicales mediante imágenes corporales.;10 minutos;Durante una canción, el docente detiene el audio en diferentes momentos. Los niños deben crear una imagen corporal que represente exactamente cómo percibían la música en ese instante.
ACT 185;El Constructor de Paisajes;6;10;Instrumentos variados;Crear ambientes sonoros mediante selección y combinación de sonidos.;20 minutos;Entregar a pequeños grupos una escena como bosque, playa, ciudad o montaña. Deben seleccionar instrumentos y objetos para construir un paisaje sonoro y presentarlo.
ACT 186;La Caja de Decisiones Musicales;6;10;Ninguno;Desarrollar autonomía y toma de decisiones dentro de una experiencia musical.;15 minutos;Preparar tarjetas con decisiones como rápido/lento, fuerte/suave, cantar/tocar o moverse/quedarse quieto. Cada niño extrae dos tarjetas y debe combinarlas en un pequeño reto.
ACT 187;El Inventor de Instrumentos Imposibles;6;10;Ninguno;Estimular imaginación, vocabulario musical y creatividad.;15 minutos;Cada niño diseña verbalmente un instrumento imposible. Debe explicar su forma, materiales, manera de tocarlo y sonido. Después representa cómo sonaría.
ACT 188;La Cadena de Canciones;5;9;Ninguno;Desarrollar memoria y participación colectiva.;15 minutos;Un niño canta una pequeña parte de una canción. El siguiente debe continuar con otra canción que comience de manera diferente. Continuar hasta crear una cadena de canciones.
ACT 189;El Rompecabezas del Pulso;6;10;Percusión corporal;Comprender regularidad y organización temporal de los ritmos.;15 minutos;Entregar tarjetas que representan pulsos mediante símbolos. Los niños deben ordenar las tarjetas para crear una secuencia regular y después interpretarla.
ACT 190;El Reportero Musical;7;10;Ninguno;Desarrollar expresión oral y capacidad de describir experiencias musicales.;15 minutos;Un niño actúa como reportero y entrevista a un compañero sobre una canción, instrumento o actividad. Debe preguntarle qué escuchó, qué sintió y qué elemento musical recuerda.
ACT 191;La Escena Cambiante;6;10;Ninguno;Desarrollar adaptación y creatividad mediante cambios inesperados.;20 minutos;"Un grupo representa una escena sencilla. El docente introduce cambios como ""ahora todo ocurre lentamente"", ""nadie puede hablar"" o ""la escena está bajo el agua"". Los niños deben adaptar sus movimientos y sonidos."
ACT 192;El Álbum de Familias de Instrumentos;7;10;Instrumentos variados;Reconocer relaciones entre instrumentos y clasificarlos por características.;20 minutos;Entregar imágenes de diferentes instrumentos. Los niños deben formar familias según criterios como forma de producir sonido, material o manera de tocar.
ACT 193;El Mensaje al Futuro;6;10;Ninguno;Estimular composición y expresión musical personal.;15 minutos;Cada niño crea una pequeña secuencia de sonidos que represente un mensaje para alguien del futuro. Después explica qué quería comunicar mediante sus sonidos.
ACT 194;La Subasta de Ritmos;7;10;Percusión corporal;Estimular selección, comparación y creación de patrones rítmicos.;20 minutos;Presentar diferentes patrones rítmicos como opciones. Los niños reciben fichas imaginarias y deben elegir los patrones que consideran más interesantes para construir una composición.
ACT 195;El Camino de los Instrumentos;5;9;Instrumentos variados;Relacionar instrumentos con formas de interpretación mediante movimiento.;15 minutos;Colocar imágenes de instrumentos formando un recorrido. Al llegar a cada imagen, los niños deben representar cómo se toca y producir un sonido aproximado con la voz o el cuerpo.
ACT 196;La Historia al Revés;6;10;Ninguno;Desarrollar creatividad narrativa y capacidad de transformar estructuras conocidas.;15 minutos;El docente cuenta una historia conocida pero cambia deliberadamente algunos acontecimientos. Los niños deben crear sonidos y movimientos que acompañen la nueva versión.
ACT 197;La Batería Humana;5;9;Percusión corporal;Explorar diferentes sonidos corporales y coordinarlos en grupo.;15 minutos;Asignar a cada niño una parte del cuerpo para producir un sonido específico. El docente dirige entradas individuales hasta formar una batería corporal completa.
ACT 198;El Museo Viviente;5;9;Ninguno;Relacionar instrumentos y conceptos musicales con expresión corporal.;15 minutos;Cada niño representa una estatua de un instrumento, músico o concepto musical. Cuando el docente toca una señal, una estatua cobra vida durante unos segundos.
ACT 199;El Mensajero de las Emociones;5;9;Ninguno;Comunicar emociones sin utilizar palabras.;10 minutos;Un niño recibe una emoción y debe transmitirla únicamente mediante un pequeño ritmo corporal y una expresión facial. El resto intenta identificarla.
ACT 200;La Banda de los Objetos Perdidos;5;9;Objetos cotidianos;Desarrollar creatividad mediante combinación de objetos no musicales.;20 minutos;Cada grupo recibe varios objetos cotidianos. Deben descubrir qué sonidos pueden producir y construir una pequeña interpretación utilizando únicamente esos objetos.
ACT 201;El Árbol de las Canciones;5;10;Ninguno;Organizar canciones según características y situaciones.;15 minutos;Dibujar un árbol con varias ramas como dormir, jugar, celebrar, viajar y relajarse. Los niños colocan tarjetas de canciones en la rama que consideran adecuada.
ACT 202;El Juego de las Tres Pistas;6;10;Ninguno;Desarrollar deducción y reconocimiento de conceptos musicales.;15 minutos;El docente da tres pistas sobre una canción, instrumento o concepto musical. Los niños intentan descubrir la respuesta antes de recibir la siguiente pista.
ACT 203;La Composición por Turnos;6;10;Percusión corporal;Crear una pieza musical respetando turnos y aportes individuales.;20 minutos;El primer niño crea un sonido. El siguiente añade otro sin eliminar el anterior. Cada participante incorpora un elemento hasta formar una composición colectiva.
ACT 204;El Director con Tarjetas;5;9;Instrumentos de percusión;Aprender a interpretar señales visuales durante una ejecución musical.;15 minutos;Preparar tarjetas con símbolos que indiquen comenzar, detenerse, repetir, acelerar, disminuir o cambiar de instrumento. Un niño dirige mostrando las tarjetas al grupo.
ACT 205;El Camino de los Sentidos;4;8;Ninguno;Relacionar música con imaginación y percepción corporal.;15 minutos;El docente reproduce música y propone imaginar diferentes sensaciones como caminar sobre arena, hielo, agua o nubes. Los niños modifican sus movimientos para representar cada textura.
ACT 206;La Máquina de Letras;6;10;Ninguno;Relacionar lenguaje, ritmo y creación de palabras.;15 minutos;Los niños reciben letras y deben formar palabras. Después convierten cada palabra en un pequeño patrón rítmico según sus sílabas y combinan varias palabras.
ACT 207;El Musical de un Minuto;7;10;Ninguno;Desarrollar planificación rápida, cooperación y expresión escénica.;20 minutos;Los grupos reciben un personaje, lugar y problema. Tienen pocos minutos para preparar una escena de máximo un minuto que incluya una canción o sonido musical.
ACT 208;La Carrera de Memoria Visual;5;9;Ninguno;Desarrollar memoria visual relacionada con símbolos musicales.;15 minutos;Mostrar durante unos segundos una secuencia de imágenes musicales. Ocultarla y pedir a los niños que reconstruyan el orden utilizando las tarjetas disponibles.
ACT 209;El Traductor Musical;7;10;Ninguno;Relacionar conceptos cotidianos con expresiones musicales.;15 minutos;"El docente propone situaciones como ""estoy feliz"", ""tengo miedo"" o ""quiero descansar"". Los niños deben traducir cada frase a un pequeño ritmo, sonido o movimiento."
ACT 210;La Banda de los Roles;6;10;Instrumentos variados;Comprender diferentes funciones dentro de una interpretación grupal.;20 minutos;Asignar roles como percusión, ritmo, efectos, señales y dirección. Cada grupo practica su función y después todos participan en una interpretación coordinada.
ACT 211;El Retrato Musical;5;10;Ninguno;Utilizar sonidos y música para representar características de una persona o personaje.;15 minutos;Cada niño piensa en un personaje conocido o inventado. Debe crear una pequeña combinación de sonidos, movimientos y ritmo que represente su personalidad.
ACT 212;La Máquina de Historias;5;9;Instrumentos variados;Crear narraciones colectivas a partir de estímulos sonoros.;20 minutos;Cada grupo recibe tres sonidos diferentes. Debe inventar una historia donde esos sonidos tengan un papel importante y después representarla mientras produce los efectos.
ACT 213;El Desafío de las Cinco Opciones;6;10;Ninguno;Desarrollar autonomía y creatividad mediante restricciones musicales.;15 minutos;El docente presenta cinco opciones de creación, como utilizar solo tres sonidos, cantar sin palabras, crear un ritmo con los pies o representar una emoción. Cada niño elige una y desarrolla un pequeño reto.
ACT 214;El Festival Musical;7;10;Instrumentos variados;Integrar diferentes habilidades musicales en una presentación colectiva.;30 minutos;Organizar pequeños grupos y permitir que cada uno prepare una presentación de uno o dos minutos. Puede incluir canto, movimiento, instrumentos, sonidos corporales o una combinación de ellos.
ACT 215;El Guardián del Ritmo;5;9;Percusión corporal;Desarrollar constancia rítmica y responsabilidad dentro de una actividad grupal.;15 minutos;Un niño recibe el rol de guardián y debe mantener un patrón rítmico constante mientras los demás realizan diferentes acciones musicales alrededor. Después se cambia de guardián.
ACT 216;La Máquina de Personajes;4;8;Ninguno;Combinar movimiento, imaginación y expresión musical.;15 minutos;Cada niño recibe una tarjeta con un personaje. Debe crear una forma característica de caminar y un sonido asociado. Después todos forman una máquina donde cada personaje aporta su movimiento.
ACT 217;El Laboratorio de Canciones;7;10;Ninguno;Experimentar con cambios en una canción conocida y comprender sus elementos.;20 minutos;Seleccionar una canción conocida y modificar uno de sus elementos cada ronda: velocidad, volumen, letra, movimiento o forma de interpretarla. Los niños comparan cómo cambia la canción.
ACT 218;Las Huellas de los Gigantes;3;4;Ninguno;Desarrollar coordinación motriz y respuesta a diferentes intensidades musicales.;8 minutos;Colocar huellas grandes de papel en el suelo. Los niños caminan sobre ellas cuando la música suena fuerte y dan pasos pequeños cuando la música se vuelve suave.
ACT 219;La Caja de las Texturas;3;4;Ninguno;Relacionar sensaciones táctiles con diferentes características musicales.;10 minutos;Preparar objetos seguros con texturas diferentes como algodón, cartón y tela. Los niños tocan cada objeto mientras escuchan música y eligen cuál textura creen que combina mejor con ella.
